Date,Time,Marondera,Gweru,Mutare,Masvingo,Chinhoyi,Psi,Bridh,Mpilo,NMRL,Bindura,Kadoma,VicFalls,Gwanda,Lupane
26/03/20 , 05:24 , 0.408 , 0.412 , 0.411 , 11.7 , 0.364 , 0.418 , 21.0 , 13.7 , 0.424 , 0.310 , 0.280 , 0.283 , 0.310 , 0.259 , 0.283
26/03/20 , 05:27 , 0.371 , 0.401 , 0.335 , 11.9 , 0.389 , 0.425 , 12.4 , 13.4 , 0.458 , 0.338 , 0.373 , 0.381 , 0.338 , 0.304 , 0.381
26/03/20 , 05:30 , 0.349 , 0.574 , 0.282 , 13.2 , 0.439 , 0.450 , 9.21 , 15.4 , 0.408 , 0.346 , 0.318 , 0.517 , 0.346 , 0.285 , 0.517
26/03/20 , 05:33 , 0.332 , 0.522 , 0.425 , 10.9 , 0.342 , 0.439 , 8.94 , 11.9 , 0.370 , 0.397 , 0.434 , 0.348 , 0.397 , 0.242 , 0.348
26/03/20 , 05:36 , 0.361 , 0.518 , 0.399 , 10.9 , 0.406 , 0.402 , 11.2 , 16.6 , 0.410 , 0.299 , 0.296 , 0.401 , 0.299 , 0.293 , 0.401
26/03/20 , 05:39 , 0.376 , 0.536 , 0.436 , 16.2 , 0.337 , 0.382 , 11.5 , 12.5 , 0.350 , 0.455 , 0.376 , 0.450 , 0.455 , 0.338 , 0.450
26/03/20 , 05:42 , 0.320 , 0.510 , 0.491 , 13.8 , 0.402 , 0.488 , 10.9 , 11.4 , 0.436 , 0.309 , 0.409 , 0.488 , 0.309 , 0.400 , 0.488
26/03/20 , 05:45 , 0.326 , 0.583 , 0.472 , 12.6 , 0.476 , 0.461 , 10.0 , 17.3 , 0.523 , 0.281 , 0.374 , 0.518 , 0.281 , 0.327 , 0.518
26/03/20 , 05:48 , 0.316 , 0.555 , 0.529 , 9.76 , 0.431 , 0.521 , 30.6 , 15.5 , 0.547 , 0.223 , 0.303 , 0.534 , 0.223 , 0.294 , 0.534
26/03/20 , 05:51 , 0.347 , 0.513 , 0.486 , 10.1 , 0.402 , 0.302 , 9.89 , 12.9 , 0.398 , 0.329 , 0.335 , 0.490 , 0.329 , 0.315 , 0.490
26/03/20 , 05:54 , 0.378 , 0.553 , 0.460 , 11.1 , 0.392 , 0.424 , 10.2 , 11.2 , 0.416 , 0.407 , 0.342 , 0.511 , 0.407 , 0.312 , 0.511
